Input_Text,Process_Text,Status,Before Replace,After Replace
আগস্ট ২০২৩ তারিখে একটি বারবিকিউ পার্টি আয়োজন করা হবে.,আগস্ট দুই হাজার তেইশ তারিখে একটি বারবিকিউ পার্টি আয়োজন করা হবে . ,False,"['২০২৩', 'হবে.']","['দুই হাজার তেইশ', 'হবে .']"
আমি মে ২০২৩ তারিখে আমার নানা-নানির কাছে যাচ্ছি.,আমি মে দুই হাজার তেইশ তারিখে আমার নানা নানির কাছে যাচ্ছি . ,False,"['২০২৩', 'নানা-নানির', 'যাচ্ছি.']","['দুই হাজার তেইশ', 'নানা নানির', 'যাচ্ছি .']"
আমি সেপ্টেম্বর ২০২৩ তারিখে একটি বিয়ে অনুষ্ঠানে যাচ্ছি.,আমি সেপ্টেম্বর দুই হাজার তেইশ তারিখে একটি বিয়ে অনুষ্ঠানে যাচ্ছি . ,False,"['২০২৩', 'যাচ্ছি.']","['দুই হাজার তেইশ', 'যাচ্ছি .']"
আমরা জুন ২০২৩ তে ইউরোপে একটি ভ্রমণ পরিকল্পনা করছি.,আমরা জুন দুই হাজার তেইশ তে ইউরোপে একটি ভ্রমণ পরিকল্পনা করছি . ,False,"['২০২৩', 'করছি.']","['দুই হাজার তেইশ', 'করছি .']"
"আমার ডেন্টিস্টের অ্যাপয়েন্টমেন্ট এপ্রিল ১০, ২০২৩ তারিখে.",আমার ডেন্টিস্টের অ্যাপয়েন্টমেন্ট এপ্রিল দশ দুই হাজার তেইশ তারিখে . ,False,"['১০, ২০২৩', 'তারিখে.']","['দশ দুই হাজার তেইশ', 'তারিখে .']"
কোম্পানির বার্ষিক সভা ফেব্রুয়ারি ১৭৫৯ তারিখে হয়.,কোম্পানির বার্ষিক সভা ফেব্রুয়ারি সতেরোশো ঊনষাট তারিখে হয় . ,False,"['১৭৫৯', 'হয়.']","['সতেরোশো ঊনষাট', 'হয় .']"
"আমার অনুষ্ঠান সমাপন হয়েছে জুন ১৫, ১৭৫৯ তারিখে.",আমার অনুষ্ঠান সমাপন হয়েছে জুন পনেরো সতেরোশো ঊনষাট তারিখে . ,False,"['১৫, ১৭৫৯', 'তারিখে.']","['পনেরো সতেরোশো ঊনষাট', 'তারিখে .']"
আমি মার্চ ১৭৫৯ তারিখে একটি নতুন চাকরি শুরু করছি.,আমি মার্চ সতেরোশো ঊনষাট তারিখে একটি নতুন চাকরি শুরু করছি . ,False,"['১৭৫৯', 'করছি.']","['সতেরোশো ঊনষাট', 'করছি .']"
আমি মে ১৭৫৯ তারিখে পাহাড়ে ট্রেকিং করতে যাচ্ছি.,আমি মে সতেরোশো ঊনষাট তারিখে পাহাড়ে ট্রেকিং করতে যাচ্ছি . ,False,"['১৭৫৯', 'যাচ্ছি.']","['সতেরোশো ঊনষাট', 'যাচ্ছি .']"
বিদ্যালয়ের নাটকটি নভেম্বর ১৭৫৯ তারিখে নির্ধারিত হয়েছে.,বিদ্যালয়ের নাটকটি নভেম্বর সতেরোশো ঊনষাট তারিখে নির্ধারিত হয়েছে . ,False,"['১৭৫৯', 'হয়েছে.']","['সতেরোশো ঊনষাট', 'হয়েছে .']"
আমরা অক্টোবর ২০২৩ তার,আমরা অক্টোবর দুই হাজার তেইশ তার,False,['২০২৩'],['দুই হাজার তেইশ']
১৯৯৬ সালের ৬ সেপ্টেম্বর,উনিশশো ছিয়ানব্বই সালের ছয় সেপ্টেম্বর,False,"['১৯৯৬', '৬']","['উনিশশো ছিয়ানব্বই', 'ছয়']"
২০৩০ সালের ৬ সেপ্টেম্বর,দুই হাজার ত্রিশ সালের ছয় সেপ্টেম্বর,False,"['২০৩০', '৬']","['দুই হাজার ত্রিশ', 'ছয়']"
১৯৯৬ সালের৬ তারিখে নির্ধারিত করা হয়েছে.,উনিশশো ছিয়ানব্বই সালের ছয় তারিখে নির্ধারিত করা হয়েছে . ,False,"['১৯৯৬', 'সালের৬', 'হয়েছে.']","['উনিশশো ছিয়ানব্বই', 'সালের ছয়', 'হয়েছে .']"
১৯৯৬সালের ৬ সেপ্টেম্বররণ ভ্রমণ পরিকল্পনা করছি ২০৩০সালের ৬সেপ্টেম্বর,উনিশশো ছিয়ানব্বই সালের ছয় সেপ্টেম্বররণ ভ্রমণ পরিকল্পনা করছি দুই হাজার ত্রিশ সালের ছয় সেপ্টেম্বর,False,"['১৯৯৬সালের ৬', '২০৩০সালের', '৬সেপ্টেম্বর']","['উনিশশো ছিয়ানব্বই সালের ছয়', 'দুই হাজার ত্রিশ সালের ছয়', 'সেপ্টেম্বর']"
এয়ারলাইনসসহ তিনটি এয়ারলাইনসের ৫১টি ফ্লাইটে মো: ২০ হাজার ২৯১ জন হজযাত্রী সৌদি আরবে গেছেন। এ বছর হজ করতে ৮৫ হাজার ২৫৭ জনের সৌদি আরবে যাওয়ার কথা রয়েছে।,এয়ারলাইনসসহ তিনটি এয়ারলাইনসের একান্নটি ফ্লাইটে মোহাম্মদ বিশ হাজার দুইশো একানব্বই জন হজযাত্রী সৌদি আরবে গেছেন। এ বছর হজ করতে পঁচাশি হাজার দুইশো সাতান্ন জনের সৌদি আরবে যাওয়ার কথা রয়েছে।,False,"['৫১টি', 'মো: ২০', '২৯১', '৮৫', '২৫৭']","['একান্নটি', 'মোহাম্মদ বিশ', 'দুইশো একানব্বই', 'পঁচাশি', 'দুইশো সাতান্ন']"
 সাঃ কিমি হাফিক বিডিটি এয়ারলাইনসসহ তিনটি এয়ারলাইনসের ৫১টি কিমি. ফ্লাইটে মোট ২০ হাজার ২৯১ জন হজযাত্রী সৌদি আরবে গেছেন। এ বছর হজ করতে ৮৫ হাজার ২৫৭ জনের সৌদি আরবে যাওয়ার কথা রয়েছে। ৫ম,সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম কিলোমিটার হাফিক বিডিটি এয়ারলাইনসসহ তিনটি এয়ারলাইনসের একান্নটি কিলোমিটার . ফ্লাইটে মোট বিশ হাজার দুইশো একানব্বই জন হজযাত্রী সৌদি আরবে গেছেন। এ বছর হজ করতে পঁচাশি হাজার দুইশো সাতান্ন জনের সৌদি আরবে যাওয়ার কথা রয়েছে। পঞ্চম,False,"['সাঃ কিমি', '৫১টি কিমি.', '২০', '২৯১', '৮৫', '২৫৭', '৫ম']","['সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম কিলোমিটার', 'একান্নটি কিলোমিটার .', 'বিশ', 'দুইশো একানব্বই', 'পঁচাশি', 'দুইশো সাতান্ন', 'পঞ্চম']"
"প্রদর্শনীটি চলার কথা ছিল ১২ মে পর্যন্ত, তবে দর্শকদের ব্যাপক আগ্রহের কারণে তিন দিন সময় বাড়িয়ে ১৫ মে পর্যন্ত করা হয়েছিল ১৫.১৫","প্রদর্শনীটি চলার কথা ছিল বারো মে পর্যন্ত, তবে দর্শকদের ব্যাপক আগ্রহের কারণে তিন দিন সময় বাড়িয়ে পনেরো মে পর্যন্ত করা হয়েছিল পনেরো দশমিক এক পাঁচ ",False,"['১২', '১৫', '১৫.১৫']","['বারো', 'পনেরো', 'পনেরো দশমিক এক পাঁচ']"
"The numbers are 10 নন-ক্যাডার 20.5  30, and 40.75. সুপারিশ ২০৩০.৩০ 12 23 45",The numbers are দশ নন ক্যাডার বিশ দশমিক পাঁচ ত্রিশ and চল্লিশ দশমিক সাত পাঁচ সুপারিশ দুই হাজার ত্রিশ দশমিক তিন শূন্য বারো তেইশ পঁয়তাল্লিশ ,False,"['10', 'নন-ক্যাডার', '20.5 30,', '40.75.', '২০৩০.৩০ 12 23 45']","['দশ নন', 'ক্যাডার', 'বিশ দশমিক পাঁচ ত্রিশ', 'চল্লিশ দশমিক সাত পাঁচ', 'দুই হাজার ত্রিশ দশমিক তিন শূন্য বারো তেইশ পঁয়তাল্লিশ']"
[১৯৯৬]-সালের-৬:তারিখে-নির্ধারিত করা হয়েছে,উনিশশো ছিয়ানব্বই সালের- ছয় তারিখে নির্ধারিত করা হয়েছে,False,['[১৯৯৬]-সালের-৬:তারিখে-নির্ধারিত'],['উনিশশো ছিয়ানব্বই সালের- ছয় তারিখে নির্ধারিত']
[১৯৯৬]-সালের-৬:তারিখে-নির্ধারিত করা হয়েছে.,উনিশশো ছিয়ানব্বই সালের- ছয় তারিখে নির্ধারিত করা হয়েছে . ,False,"['[১৯৯৬]-সালের-৬:তারিখে-নির্ধারিত', 'হয়েছে.']","['উনিশশো ছিয়ানব্বই সালের- ছয় তারিখে নির্ধারিত', 'হয়েছে .']"
১৯৯৬সালের ৬ সেপ্টেম্বররণ ভ্রমণ পরিকল্পনা করছি ২০৩০সালের ৬সেপ্টেম্বর,উনিশশো ছিয়ানব্বই সালের ছয় সেপ্টেম্বররণ ভ্রমণ পরিকল্পনা করছি দুই হাজার ত্রিশ সালের ছয় সেপ্টেম্বর,False,"['১৯৯৬সালের ৬', '২০৩০সালের', '৬সেপ্টেম্বর']","['উনিশশো ছিয়ানব্বই সালের ছয়', 'দুই হাজার ত্রিশ সালের ছয়', 'সেপ্টেম্বর']"
আজকের তাপমাত্রা ৪৪°F,আজকের তাপমাত্রা চুয়াল্লিশ ডিগ্রী ফারেনহাইট,False,['৪৪°F'],['চুয়াল্লিশ ডিগ্রী ফারেনহাইট']
আজকের তাপমাত্রা ৪৪°C,আজকের তাপমাত্রা চুয়াল্লিশ ডিগ্রী সেলসিয়াস,False,['৪৪°C'],['চুয়াল্লিশ ডিগ্রী সেলসিয়াস']
যেমন ১৯৬১ সালে দেশটির তৎকালীন প্রেসিডেন্ট ডোয়াইট ডি আইজেনহাওয়ার শিক্ষা খাতে সামরিক শিল্পের প্রবেশের বিপদ নিয়ে সতর্ক করেছিলেন।,যেমন উনিশশো একষট্টি সালে দেশটির তৎকালীন প্রেসিডেন্ট ডোয়াইট ডি আইজেনহাওয়ার শিক্ষা খাতে সামরিক শিল্পের প্রবেশের বিপদ নিয়ে সতর্ক করেছিলেন।,False,['১৯৬১'],['উনিশশো একষট্টি']
১৯৯৬সালের ৬ সেপ্টেম্বররণ ভ্রমণ পরিকল্পনা করছি ২০৩০সালের ৬সেপ্টেম্বর,উনিশশো ছিয়ানব্বই সালের ছয় সেপ্টেম্বররণ ভ্রমণ পরিকল্পনা করছি দুই হাজার ত্রিশ সালের ছয় সেপ্টেম্বর,False,"['১৯৯৬সালের ৬', '২০৩০সালের', '৬সেপ্টেম্বর']","['উনিশশো ছিয়ানব্বই সালের ছয়', 'দুই হাজার ত্রিশ সালের ছয়', 'সেপ্টেম্বর']"
"উদাহরণস্বরূপ, আপনার মোটরযানের রেজিস্ট্রেশন নাম্বার ঢাকা মেট্রো-গ-12-1212 এবং টাকা জমা রশিদের ট্রানজেকশন নাম্বার 2001011325989","উদাহরণস্বরূপ, আপনার মোটরযানের রেজিস্ট্রেশন নাম্বার ঢাকা মেট্রো গ বারো দশমিক এক দুই এক দুই এবং টাকা জমা রশিদের ট্রানজেকশন নাম্বার দুই লক্ষ একশো এক কোটি তেরো লক্ষ পঁচিশ হাজার নয়শো ঊননব্বই ",False,"['মেট্রো-গ-12-1212', '2001011325989']","['মেট্রো গ বারো দশমিক এক দুই এক দুই', 'দুই লক্ষ একশো এক কোটি তেরো লক্ষ পঁচিশ হাজার নয়শো ঊননব্বই']"
[১৯৯৬]-সালের-৬:তারিখে- ১৯৯৬—৯৯ নির্ধারিত করা হয়েছে. ১৯৯৬-৯৯,উনিশশো ছিয়ানব্বই সালের- ছয় তারিখে উনিশশো ছিয়ানব্বই নিরানব্বই নির্ধারিত করা হয়েছে . উনিশশো ছিয়ানব্বই নিরানব্বই,False,"['[১৯৯৬]-সালের-৬:তারিখে- ১৯৯৬—৯৯', 'হয়েছে.', '১৯৯৬-৯৯']","['উনিশশো ছিয়ানব্বই সালের- ছয় তারিখে উনিশশো ছিয়ানব্বই নিরানব্বই', 'হয়েছে', '. উনিশশো ছিয়ানব্বই নিরানব্বই']"
১৯৮৭-র ১৯৯৫ সালে,উনিশশো সাতাশি এর উনিশশো পঁচানব্বই সালে,False,['১৯৮৭-র ১৯৯৫'],['উনিশশো সাতাশি এর উনিশশো পঁচানব্বই']
"দয়া !@করে #পবিত্র &)কুরআনুল *কারিম বলেন,,,,পবিত্র কথাটা অবশ্যই বলবেন,,, প্লিজ","দয়া! এট দা রেট করে পবিত্র এবং কুরআনুল *কারিম বলেন, পবিত্র কথাটা অবশ্যই বলবেন, প্লিজ",False,"['দয়া', '!@করে', '#পবিত্র', '&)কুরআনুল', 'বলেন,,,,পবিত্র', 'বলবেন,,,']","['দয়া!', 'এট দা রেট', 'করে', 'পবিত্র এবং', 'কুরআনুল', 'বলেন, পবিত্র', 'বলবেন,']"
১৯৯৬সালের ৬ সেপ্টেম্বররণ ভ্রমণ পরিকল্পনা ৬ সেপ্টেম্বর করছি ২০৩০সালের ২সেপ্টেম্বর,উনিশশো ছিয়ানব্বই সালের ছয় সেপ্টেম্বররণ ভ্রমণ পরিকল্পনা ছয় সেপ্টেম্বর করছি দুই হাজার ত্রিশ সালের দুই সেপ্টেম্বর,False,"['১৯৯৬সালের ৬', '৬', '২০৩০সালের', '২সেপ্টেম্বর']","['উনিশশো ছিয়ানব্বই সালের ছয়', 'ছয়', 'দুই হাজার ত্রিশ সালের দুই', 'সেপ্টেম্বর']"
" দুর্নীতির মাধ্যমে অর্জিত আয়ের উৎস গোপনের জন্য নিজের নামসহ তাঁর আত্মীয়স্বজনের নামে ৭০০০টির বেশি হিসাব খোলেন।""","দুর্নীতির মাধ্যমে অর্জিত আয়ের উৎস গোপনের জন্য নিজের নামসহ তাঁর আত্মীয়স্বজনের নামে সাত হাজারটির বেশি হিসাব খোলেন। """,False,"['৭০০০টির', 'খোলেন।""']","['সাত হাজারটির', 'খোলেন। ""']"
১৯৯৬ সালের নির্ধারিত করা হয়েছে. ১৯৯৬-৯৬,উনিশশো ছিয়ানব্বই সালের নির্ধারিত করা হয়েছে . উনিশশো ছিয়ানব্বই ছিয়ানব্বই,False,"['১৯৯৬', 'হয়েছে.', '১৯৯৬-৯৬']","['উনিশশো ছিয়ানব্বই', 'হয়েছে', '. উনিশশো ছিয়ানব্বই ছিয়ানব্বই']"
১৯৯৬সালের ৬ সেপ্টেম্বররণ ভ্রমণ পরিকল্পনা করছি ২০৩০সালের ৬সেপ্টেম্বর দুর্নীতির মাধ্যমে অর্জিত আয়ের উৎস গোপনের জন্য নিজের নামসহ তাঁর আত্মীয়স্বজনের নামে ৭০০০টির বেশি হিসাব খোলেন।,উনিশশো ছিয়ানব্বই সালের ছয় সেপ্টেম্বররণ ভ্রমণ পরিকল্পনা করছি দুই হাজার ত্রিশ সালের ছয় সেপ্টেম্বর দুর্নীতির মাধ্যমে অর্জিত আয়ের উৎস গোপনের জন্য নিজের নামসহ তাঁর আত্মীয়স্বজনের নামে সাত হাজারটির বেশি হিসাব খোলেন।,False,"['১৯৯৬সালের ৬', '২০৩০সালের', '৬সেপ্টেম্বর', '৭০০০টির']","['উনিশশো ছিয়ানব্বই সালের ছয়', 'দুই হাজার ত্রিশ সালের ছয়', 'সেপ্টেম্বর', 'সাত হাজারটির']"
আজকের তাপমাত্রা৪৪°F,আজকের তাপমাত্রা চুয়াল্লিশ ডিগ্রী ফারেনহাইট,False,['তাপমাত্রা৪৪°F'],['তাপমাত্রা চুয়াল্লিশ ডিগ্রী ফারেনহাইট']
আজকের তাপমাত্রা ৪৪°C,আজকের তাপমাত্রা চুয়াল্লিশ ডিগ্রী সেলসিয়াস,False,['৪৪°C'],['চুয়াল্লিশ ডিগ্রী সেলসিয়াস']
যেমন ১৯৬১ সালে দেশটির তৎকালীন প্রেসিডেন্ট ডোয়াইট ডি আইজেনহাওয়ার শিক্ষা খাতে সামরিক শিল্পের প্রবেশের বিপদ নিয়ে সতর্ক করেছিলেন।,যেমন উনিশশো একষট্টি সালে দেশটির তৎকালীন প্রেসিডেন্ট ডোয়াইট ডি আইজেনহাওয়ার শিক্ষা খাতে সামরিক শিল্পের প্রবেশের বিপদ নিয়ে সতর্ক করেছিলেন।,False,['১৯৬১'],['উনিশশো একষট্টি']
১৯৯৬সালের ৬ সেপ্টেম্বররণ ভ্রমণ পরিকল্পনা করছি ২০৩০সালের ৬সেপ্টেম্বর,উনিশশো ছিয়ানব্বই সালের ছয় সেপ্টেম্বররণ ভ্রমণ পরিকল্পনা করছি দুই হাজার ত্রিশ সালের ছয় সেপ্টেম্বর,False,"['১৯৯৬সালের ৬', '২০৩০সালের', '৬সেপ্টেম্বর']","['উনিশশো ছিয়ানব্বই সালের ছয়', 'দুই হাজার ত্রিশ সালের ছয়', 'সেপ্টেম্বর']"
" বাংলাদেশের পাসপোর্টের অভ্যন্তরে ইস্যু করানোর সময়ে নিয়মিত, জরুরী, এবং অতীব জরুরী বিতরণের ফি নিম্নলিখিত: নিয়মিত বিতরণ (48 পৃষ্ঠা এবং 10 বছর মেয়াদ) পাসপোর্ট ফি: ৪,০২৫ টাকা জরুরী বিতরণ (48 পৃষ্ঠা এবং 10 বছর মেয়াদ) পাসপোর্ট ফি: ৬,৩২৫ টাকা অতীব জরুরী বিতরণ (48 পৃষ্ঠা এবং 10 বছর মেয়াদ) পাসপোর্ট ফি: ৮,৬২৫ টাকা নিয়মিত বিতরণ (64 পৃষ্ঠা এবং 5 বছর মেয়াদ) পাসপোর্ট ফি: ৫,৭৫০ টাকা জরুরী বিতরণ (64 পৃষ্ঠা এবং 5 বছর মেয়াদ) পাসপোর্ট ফি: ৮,০৫০ টাকা অতীব জরুরী বিতরণ (64 পৃষ্ঠা এবং 5 বছর মেয়াদ) পাসপোর্ট ফি: ১০,৩৫০ টাকা","বাংলাদেশের পাসপোর্টের অভ্যন্তরে ইস্যু করানোর সময়ে নিয়মিত, জরুরী, এবং অতীব জরুরী বিতরণের ফি নিম্নলিখিত নিয়মিত বিতরণ আটচল্লিশ পৃষ্ঠা এবং দশ বছর মেয়াদ পাসপোর্ট ফি চার হাজার পঁচিশ টাকা জরুরী বিতরণ আটচল্লিশ পৃষ্ঠা এবং দশ বছর মেয়াদ পাসপোর্ট ফি ছয় হাজার তিনশো পঁচিশ টাকা অতীব জরুরী বিতরণ আটচল্লিশ পৃষ্ঠা এবং দশ বছর মেয়াদ পাসপোর্ট ফি আট হাজার ছয়শো পঁচিশ টাকা নিয়মিত বিতরণ চৌষট্টি পৃষ্ঠা এবং পাঁচ বছর মেয়াদ পাসপোর্ট ফি পাঁচ হাজার সাতশো পঞ্চাশ টাকা জরুরী বিতরণ চৌষট্টি পৃষ্ঠা এবং পাঁচ বছর মেয়াদ পাসপোর্ট ফি আট হাজার পঞ্চাশ টাকা অতীব জরুরী বিতরণ চৌষট্টি পৃষ্ঠা এবং পাঁচ বছর মেয়াদ পাসপোর্ট ফি দশ হাজার তিনশো পঞ্চাশ টাকা",False,"['নিম্নলিখিত:', '(48', '10', 'মেয়াদ)', 'ফি:', '৪,০২৫', '(48', '10', 'মেয়াদ)', 'ফি:', '৬,৩২৫', '(48', '10', 'মেয়াদ)', 'ফি:', '৮,৬২৫', '(64', '5', 'মেয়াদ)', 'ফি:', '৫,৭৫০', '(64', '5', 'মেয়াদ)', 'ফি:', '৮,০৫০', '(64', '5', 'মেয়াদ)', 'ফি:', '১০,৩৫০']","['নিম্নলিখিত', 'আটচল্লিশ', 'দশ', 'মেয়াদ', 'ফি', 'চার হাজার পঁচিশ', 'আটচল্লিশ', 'দশ', 'মেয়াদ', 'ফি', 'ছয় হাজার তিনশো পঁচিশ', 'আটচল্লিশ', 'দশ', 'মেয়াদ', 'ফি', 'আট হাজার ছয়শো পঁচিশ', 'চৌষট্টি', 'পাঁচ', 'মেয়াদ', 'ফি', 'পাঁচ হাজার সাতশো পঞ্চাশ', 'চৌষট্টি', 'পাঁচ', 'মেয়াদ', 'ফি', 'আট হাজার পঞ্চাশ', 'চৌষট্টি', 'পাঁচ', 'মেয়াদ', 'ফি', 'দশ হাজার তিনশো পঞ্চাশ']"
বাংলাদেশের পাসপোর্টের অভ্যন্তরে ইস্যু করানোর সময় 10/12/1956,বাংলাদেশের পাসপোর্টের অভ্যন্তরে ইস্যু করানোর সময় দশ ডিসেম্বর উনিশশো ছাপ্পান্ন ,False,['10/12/1956'],['দশ ডিসেম্বর উনিশশো ছাপ্পান্ন']
৬/৯/১৯৯৬ বাংলাদেশের পাসপোর্টের অভ্যন্তরে ইস্যু করানোর সময় 10/12/24, ছয় সেপ্টেম্বর উনিশশো ছিয়ানব্বই বাংলাদেশের পাসপোর্টের অভ্যন্তরে ইস্যু করানোর সময় দশ / বারো / চব্বিশ ,False,"['৬/৯/১৯৯৬', '10/12/24']","['ছয় সেপ্টেম্বর উনিশশো ছিয়ানব্বই', 'দশ / বারো / চব্বিশ']"
